compiler,arch,processor,case,count,mean
/Applications/Xcode_16.4.app/Contents/Developer/usr/bin/gcc: Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x86_64] [arm64:Mach-O 64-bit executable arm64]
/Applications/Xcode_16.4.app/Contents/Developer/usr/bin/gcc (for architecture x86_64):	Mach-O 64-bit executable x86_64
/Applications/Xcode_16.4.app/Contents/Developer/usr/bin/gcc (for architecture arm64):	Mach-O 64-bit executable arm64
Clang 17.0.0,ARM64,Apple M1 (Virtual),loop_unrolling_nodiv,29,103
Clang 17.0.0,ARM64,Apple M1 (Virtual),loop_unrolling,43,70
Clang 17.0.0,ARM64,Apple M1 (Virtual),nodiv,27,111
Clang 17.0.0,ARM64,Apple M1 (Virtual),original,37,81
/Applications/Xcode_16.4.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang: Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x86_64] [arm64]
/Applications/Xcode_16.4.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang (for architecture x86_64):	Mach-O 64-bit executable x86_64
/Applications/Xcode_16.4.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang (for architecture arm64):	Mach-O 64-bit executable arm64
Clang 17.0.0,ARM64,Apple M1 (Virtual),loop_unrolling_nodiv,24,127
Clang 17.0.0,ARM64,Apple M1 (Virtual),loop_unrolling,30,100
Clang 17.0.0,ARM64,Apple M1 (Virtual),nodiv,23,132
Clang 17.0.0,ARM64,Apple M1 (Virtual),original,29,104
